#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.010    -98.881   -118.247   -126.843    -27.736    174.765     94.133
      0.020    -99.155   -116.495   -125.897    -27.026    175.613     95.046
      0.030    -99.421   -114.734   -124.942    -26.301    176.465     95.970
      0.040    -99.681   -112.965   -123.978    -25.559    177.322     96.906
      0.050    -99.932   -111.188   -123.004    -24.800    178.181     97.853
      0.060   -100.177   -109.402   -122.021    -24.024    179.045     98.812
      0.070   -100.413   -107.607   -121.028    -23.231    179.912     99.782
      0.080   -100.641   -105.803   -120.025    -22.418    180.782    100.765
      0.090   -100.861   -103.991   -119.012    -21.587    181.656    101.760
      0.100   -101.073   -102.170   -117.990    -20.737    182.533    102.767
      0.110   -101.276   -100.341   -116.957    -19.866    183.412    103.787
      0.120   -101.470    -98.502   -115.914    -18.975    184.295    104.821
      0.130   -101.655    -96.655   -114.860    -18.063    185.181    105.867
      0.140   -101.831    -94.798   -113.797    -17.129    186.069    106.926
      0.150   -101.998    -92.933   -112.722    -16.173    186.959    108.000
      0.160   -102.154    -91.059   -111.636    -15.193    187.852    109.087
      0.170   -102.301    -89.176   -110.540    -14.190    188.746    110.188
      0.180   -102.438    -87.284   -109.433    -13.162    189.642    111.303
      0.190   -102.564    -85.383   -108.314    -12.109    190.539    112.433
      0.200   -102.680    -83.474   -107.184    -11.030    191.438    113.578
      0.210   -102.785    -81.555   -106.042     -9.923    192.337    114.738
      0.220   -102.878    -79.627   -104.889     -8.789    193.237    115.913
      0.230   -102.961    -77.690   -103.724     -7.627    194.137    117.104
      0.240   -103.031    -75.744   -102.547     -6.435    195.036    118.310
      0.250   -103.089    -73.789   -101.358     -5.213    195.935    119.533
      0.260   -103.135    -71.825   -100.156     -3.959    196.832    120.771
      0.270   -103.168    -69.853    -98.942     -2.673    197.728    122.026
      0.280   -103.188    -67.871    -97.716     -1.354    198.621    123.298
      0.290   -103.195    -65.880    -96.476     -0.000    199.511    124.586
      0.300   -103.188    -63.881    -95.224      1.389    200.398    125.891
      0.310   -103.167    -61.872    -93.958      2.815    201.281    127.214
      0.320   -103.132    -59.855    -92.679      4.278    202.158    128.554
      0.330   -103.081    -57.829    -91.387      5.781    203.030    129.912
      0.340   -103.016    -55.794    -90.081      7.323    203.896    131.287
      0.350   -102.935    -53.751    -88.761      8.907    204.754    132.680
      0.360   -102.837    -51.699    -87.427     10.534    205.603    134.091
      0.370   -102.724    -49.639    -86.079     12.205    206.443    135.520
      0.380   -102.593    -47.571    -84.717     13.921    207.273    136.966
      0.390   -102.445    -45.494    -83.340     15.684    208.090    138.431
      0.400   -102.279    -43.409    -81.948     17.496    208.895    139.914
      0.410   -102.095    -41.316    -80.542     19.357    209.685    141.415
      0.420   -101.892    -39.215    -79.120     21.270    210.459    142.934
      0.430   -101.669    -37.107    -77.683     23.235    211.215    144.471
      0.440   -101.427    -34.991    -76.230     25.255    211.952    146.024
      0.450   -101.164    -32.868    -74.762     27.331    212.668    147.596
      0.460   -100.880    -30.738    -73.278     29.464    213.361    149.184
      0.470   -100.574    -28.601    -71.778     31.657    214.029    150.788
      0.480   -100.246    -26.457    -70.262     33.910    214.670    152.409
      0.490    -99.896    -24.308    -68.730     36.226    215.282    154.045
      0.500    -99.522    -22.152    -67.181     38.606    215.861    155.696
      0.510    -99.123    -19.991    -65.616     41.052    216.405    157.361
      0.520    -98.700    -17.824    -64.034     43.565    216.912    159.038
      0.530    -98.252    -15.653    -62.435     46.146    217.378    160.728
      0.540    -97.777    -13.477    -60.820     48.798    217.800    162.429
      0.550    -97.275    -11.297    -59.187     51.521    218.176    164.139
      0.560    -96.746     -9.113    -57.537     54.317    218.501    165.857
      0.570    -96.189     -6.927    -55.870     57.188    218.771    167.582
      0.580    -95.602     -4.738    -54.185     60.133    218.983    169.311
      0.590    -94.986     -2.548    -52.483     63.155    219.133    171.042
      0.600    -94.339     -0.356    -50.764     66.253    219.216    172.774
      0.610    -93.660      1.836    -49.028     69.429    219.228    174.503
      0.620    -92.950      4.028    -47.274     72.682    219.164    176.227
      0.630    -92.206      6.219    -45.503     76.013    219.020    177.944
      0.640    -91.429      8.408    -43.715     79.420    218.790    179.648
      0.650    -90.617     10.595    -41.910     82.905    218.469    181.338
      0.660    -89.770     12.777    -40.089     86.464    218.053    183.010
      0.670    -88.888     14.955    -38.250     90.098    217.536    184.658
      0.680    -87.968     17.127    -36.396     93.803    216.913    186.280
      0.690    -87.011     19.293    -34.525     97.577    216.178    187.869
      0.700    -86.016     21.450    -32.639    101.417    215.326    189.422
      0.710    -84.983     23.599    -30.737    105.320    214.353    190.933
      0.720    -83.910     25.737    -28.820    109.281    213.253    192.397
      0.730    -82.797     27.863    -26.889    113.295    212.022    193.808
      0.740    -81.643     29.976    -24.944    117.356    210.655    195.161
      0.750    -80.449     32.076    -22.986    121.458    209.149    196.448
      0.760    -79.214     34.159    -21.016    125.594    207.500    197.666
      0.770    -77.937     36.225    -19.033    129.755    205.706    198.807
      0.780    -76.619     38.272    -17.040    133.935    203.763    199.865
      0.790    -75.259     40.299    -15.036    138.122    201.672    200.836
      0.800    -73.856     42.305    -13.024    142.308    199.430    201.712
      0.810    -72.413     44.287    -11.003    146.482    197.039    202.489
      0.820    -70.927     46.245     -8.974    150.634    194.500    203.161
      0.830    -69.400     48.176     -6.940    154.753    191.815    203.725
      0.840    -67.832     50.080     -4.900    158.827    188.987    204.175
      0.850    -66.224     51.955     -2.857    162.845    186.020    204.509
      0.860    -64.576     53.800     -0.811    166.795    182.920    204.721
      0.870    -62.888     55.613      1.237    170.668    179.694    204.798
      0.880    -61.163     57.393      3.284    174.448    176.351    204.689
      0.890    -59.400     59.140      5.330    178.125    172.901    204.448
      0.900    -57.601     60.851      7.373    181.689    169.353    204.084
      0.910    -55.767     62.526      9.411    185.130    165.717    203.600
      0.920    -53.899     64.165     11.444    188.443    162.003    202.997
      0.930    -51.998     65.766     13.470    191.619    158.222    202.280
      0.940    -50.067     67.329     15.489    194.653    154.384    201.451
      0.950    -48.106     68.854     17.499    197.541    150.501    200.516
      0.960    -46.117     70.339     19.499    200.279    146.582    199.479
      0.970    -44.101     71.785     21.488    202.864    142.639    198.346
      0.980    -42.061     73.192     23.465    205.296    138.681    197.122
      0.990    -39.996     74.559     25.430    207.573    134.718    195.814
      1.000    -37.910     75.886     27.381    209.696    130.761    194.427
