#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.051   -102.225   -118.012    -20.592    181.380    102.126
      0.200   -102.621    -83.707   -107.298    -10.805    188.978    112.165
      0.300   -103.082    -64.436    -95.513      1.575    196.448    123.527
      0.400   -102.132    -44.450    -82.519     17.430    203.259    136.362
      0.500    -99.364    -23.868    -68.167     37.936    208.388    150.670
      0.600    -94.244     -2.953    -52.333     64.470    209.918    166.007
      0.700    -86.118     17.771    -34.989     98.045    204.548    180.871
      0.800    -74.337     37.382    -16.355    137.565    187.683    191.817
      0.900    -58.605     54.572      2.917    177.087    156.106    193.620
      1.000    -39.430     68.061     21.705    206.407    113.679    182.129
      1.100    -18.110     77.253     38.892    219.993     70.166    161.616
      1.200      3.906     82.394     53.868    220.319     32.648    137.903
      1.300     25.545     84.174     66.505    212.465      2.966    114.847
      1.400     46.187     83.335     76.946    200.369    -19.763     93.968
      1.500     65.523     80.495     85.421    186.353    -37.035     75.543
      1.600     83.423     76.134     92.168    171.647    -50.180     59.378
      1.700     99.848     70.614     97.394    156.869    -60.211     45.154
      1.800    114.807     64.211    101.280    142.310    -67.862     32.560
      1.900    128.328     57.135    103.974    128.096    -73.663     21.324
      2.000    140.446     49.552    105.601    114.263    -77.994     11.225
      2.100    151.199     41.595    106.267    100.806    -81.131      2.083
      2.200    160.624     33.375    106.059     87.696    -83.277     -6.244
      2.300    168.754     24.982    105.053     74.896    -84.580    -13.872
      2.400    175.617     16.496    103.315     62.363    -85.153    -20.894
      2.500    181.237      7.984    100.901     50.055    -85.076    -27.384
      2.600    185.637     -0.490     97.861     37.929    -84.412    -33.405
      2.700    188.830     -8.871     94.241     25.943    -83.206    -39.008
      2.800    190.830    -17.106     90.079     14.051    -81.486    -44.235
      2.900    191.643    -25.144     85.411      2.207    -79.273    -49.123
      3.000    191.271    -32.936     80.269     -9.640    -76.572    -53.703
      3.100    189.712    -40.434     74.684    -21.546    -73.376    -58.001
      3.200    186.956    -47.585     68.682    -33.576    -69.662    -62.037
      3.300    182.987    -54.338     62.289    -45.802    -65.389    -65.822
      3.400    177.782    -60.632     55.530    -58.305    -60.495    -69.360
      3.500    171.307    -66.401     48.430    -71.176    -54.888    -72.643
      3.600    163.523    -71.568     41.016    -84.519    -48.444    -75.645
      3.700    154.374    -76.040     33.317    -98.451    -40.991    -78.322
      3.800    143.796    -79.704     25.371   -113.106    -32.293    -80.594
      3.900    131.709    -82.420     17.225   -128.635    -22.023    -82.335
      4.000    118.017    -84.007      8.941   -145.202     -9.714    -83.338
      4.100    102.609    -84.227      0.612   -162.967      5.312    -83.258
      4.200     85.360    -82.758     -7.614   -182.014     24.057    -81.251
      4.300     66.151    -79.154    -15.498   -202.169     48.032    -76.430
      4.400     44.916    -72.774    -22.659   -222.528     79.563    -66.797
      4.500     21.794    -62.701    -28.425   -239.916    121.902    -48.520
      4.600     -2.434    -47.736    -31.594   -244.643    177.382    -14.852
      4.700    -25.387    -27.074    -30.356   -214.408    235.859     39.605
      4.800    -43.027     -2.324    -23.593   -138.401    259.156     95.659
      4.900    -52.869     22.457    -12.628    -58.425    236.458    123.635
      5.000    -55.795     44.090     -0.026     -0.104    196.200    128.406
      5.100    -53.850     61.620     12.431     38.995    154.408    120.738
      5.200    -48.642     75.104     23.885     65.178    115.272    108.340
      5.300    -41.244     84.826     33.983     82.771     79.168     93.611
      5.400    -32.392     91.067     42.538     94.274     45.643     77.504
      5.500    -22.623     94.056     49.432    101.116     14.137     60.366
      5.600    -12.362     93.969     54.563    104.102    -15.869     42.261
      5.700     -1.974     90.932     57.830    103.643    -44.869     23.074
      5.800      8.198     85.020     59.108     99.802    -73.382      2.493
      5.900     17.797     76.252     58.230     92.188   -101.974    -20.054
      6.000     26.391     64.594     54.953     79.688   -131.181    -45.485
      6.100     33.372     49.971     48.918     59.919   -161.291    -75.211
      6.200     37.762     32.327     39.592     27.891   -191.578   -111.326
      6.300     37.785     11.901     26.213    -27.425   -216.951   -156.242
      6.400     29.991     -9.523      8.146   -128.460   -211.516   -205.110
      6.500     11.288    -25.043    -11.034   -245.595    -98.895   -178.472
      6.600    -12.648    -29.361    -24.742   -233.132     12.544    -95.698
      6.700    -33.136    -25.271    -31.107   -176.627     69.252    -31.596
      6.800    -47.643    -17.005    -31.944   -113.515     96.070     14.844
      6.900    -55.796     -6.926    -28.714    -49.544    105.505     49.770
      7.000    -57.491      3.453    -22.401     15.634    102.078     76.480
      7.100    -52.483     12.868    -13.755     84.526     86.211     96.439
      7.200    -40.131     19.798     -3.510    162.522     52.390    108.462
      7.300    -19.232     21.338      6.552    255.462    -21.582     92.782
      7.400      8.378     10.830     10.264    296.731   -188.573    -18.546
      7.500     28.512     -8.213      4.177    105.962   -192.292   -103.183
      7.600     33.220    -24.027     -5.580    -11.815   -123.994    -91.967
      7.700     28.397    -32.649    -13.225    -84.635    -48.433    -60.923
      7.800     17.574    -33.374    -17.126   -131.832     33.921    -17.109
      7.900      3.144    -24.989    -15.656   -156.767    133.781     46.517
      8.000     -9.991     -3.970     -4.548   -105.938    286.598    175.643
      8.100     -9.555     16.942      8.295    114.664    131.648     81.208
      8.200      2.781     21.854     11.515    132.053    -33.418    -16.794
      8.300     11.644     10.705      5.038     45.206   -189.567   -112.754
      8.400     -3.707    -10.528     -3.727   -352.220   -235.086    -62.542
      8.500    -33.187    -28.231     -7.840   -237.380   -118.976    -19.727
      8.600    -53.481    -37.598     -9.106   -168.497    -68.368     -5.596
      8.700    -67.728    -42.771     -9.268   -116.451    -35.091      2.358
      8.800    -77.150    -44.995     -8.764    -71.979     -9.380      7.720
      8.900    -82.287    -44.853     -7.801    -30.770     12.224     11.543
      9.000    -83.352    -42.716     -6.532      9.476     30.515     13.846
      9.100    -80.514    -38.864     -5.069     47.282     46.515     15.414
      9.200    -73.771    -33.346     -3.436     87.574     63.860     17.248
      9.300    -62.619    -25.978     -1.625    135.459     83.492     18.958
      9.400    -45.840    -16.431      0.308    200.134    107.447     19.701
      9.500    -20.090     -4.028      1.812    314.853    140.608     10.375
      9.600     66.084      1.214    -27.890   1408.641    -35.770   -604.405
      9.700    205.835     -2.357    -87.852   1386.373    -35.640   -594.841
      9.800    344.108     -5.915   -147.180   1379.087    -35.525   -591.716
      9.900    481.837     -9.464   -206.274   1375.484    -35.456   -590.171
     10.000    619.277    -13.008   -265.245   1373.335    -35.411   -589.249
     10.100    756.540    -16.547   -324.140   1371.907    -35.380   -588.637
